,words,category
72,"Sharon , she's cooked in a restaurant .",adventure
73,"We'll work hard , Mr. Morgan '' .",adventure
74,"`` I'll see '' , Morgan said .",adventure
75,`` Right now you need a meal and a bath .,adventure
76,Your wife's in terrible shape '' .,adventure
77,"`` I know '' , Jones said dejectedly .",adventure
78,"When the meal was ready , he told Jones to wash up , and going into the front room , woke the girl .",adventure
79,"He said , `` I've got some supper ready '' .",adventure
80,"`` I'm a mess '' , she said , and suddenly she was alarmed .",adventure
81,`` Who are you ? ?,adventure
82,How did we get here '' ? ?,adventure
83,`` I'm Dan Morgan .,adventure
84,This is the Rafter Aj .,adventure
85,"You fell down in front of the house , and I carried you in .",adventure
86,I gave you a drink and then you went to sleep '' .,adventure
87,"She stared at him , her eyes wide as she thought about what he had said ; ;",adventure
88,"then she murmured : `` You're very kind , Mr. Morgan .",adventure
89,Do you take in all the strays who come by '' ? ?,adventure
90,"`` I don't have many strays coming to my front door '' , he said .",adventure
91,`` Think you can walk to the table '' ? ?,adventure
92,`` Of course '' .,adventure
93,"She got to her feet , staggered , and almost fell .",adventure
94,He caught her by an arm and helped her into the kitchen .,adventure
95,"She sat down at the table , shaking her head .",adventure
96,"`` I'm sorry , Mr. Morgan .",adventure
97,"I'm usually a very strong woman , but I'm awfully tired '' .",adventure
98,"`` And hungry '' , he said .",adventure
99,`` Start in .,adventure
100,`` Not much of a meal '' ? ?,adventure
101,The girl cried .,adventure
102,"`` Mr. Morgan , it's the best-looking food I ever saw '' .",adventure
103,He told himself he had never seen two people eat so much .,adventure
104,"When they were finally satisfied , Jones said , `` I think he's going to give us work '' .",adventure
105,The grateful way she looked at Morgan made him ashamed of himself .,adventure
106,"When he saw the expression in her eyes , he knew he couldn't send them on .",adventure
107,"She said , `` I guess the Lord looks out for fools , drunkards , and innocents '' .",adventure
108,Morgan laughed .,adventure
109,`` Which are you '' ? ?,adventure
110,He carried the tub from the back of the house where it hung from a nail in the wall .,adventure
111,"Your feet are in bad shape , Mrs. Jones .",adventure
112,"`` No , she'll be all right '' , Jones said quickly .",adventure
113,"`` I mean , we don't have any way to get there and we can't expect you to quit work just to take us to town '' .",adventure
114,"`` We'll see '' , Morgan said .",adventure
115,`` Could you find me a needle and thread '' ? ?,adventure
116,The girl asked .,adventure
117,He nodded at the door in front of him .,adventure
118,`` That's my spare bedroom .,adventure
119,"The bed isn't made , but you'll find plenty of blankets there '' .",adventure
120,`` We'll pay you back if you'll let us .,adventure
121,"`` It's all right '' , he said .",adventure
122,`` I get up early .,adventure
123,You'd better sleep '' .,adventure
124,"Jones followed him into the front room , closing the door behind him .",adventure
125,"He said : `` If it's all right with you , Mr. Morgan , I'll sleep out here on the couch .",adventure
126,We haven't slept together since we started .,adventure
127,"I just can't take any chances on getting her pregnant , and if we were sleeping together ''",adventure
128,"He stopped , embarrassed , and Morgan said , `` I understand that , but I don't savvy why you'd go off and leave your jobs in the first place '' .",adventure
129,`` We had to do something '' .,adventure
130,"They were a pair of lost , whipped kids , Morgan thought as he went to bed .",adventure
131,Gavin paused wearily .,adventure
132,`` You can't stay here with me .,adventure
133,It's late and you said they'd be here by dawn '' .,adventure
134,`` You can't make me go '' .,adventure
135,Gavin sank down again into his chair and began to rock .,adventure
136,"He was thinking of Rittenhouse and how he had left him there , to rock to death on the porch of the Splendide .",adventure
137,It was the only thing in his life for which he felt guilt .,adventure
138,"Beneath his black shirt his frail shoulders shook and croaks of pain broke from his throat , the stored pain shattering free in slow gasps , terrible to see .",adventure
139,Clayton tried to call back the face of the man he had known .,adventure
140,Against that other man he could rally his anger ; ;,adventure
141,against this bent man in the chair he was powerless .,adventure
142,Gavin's lips moved so that Clayton had to stoop to catch the words .,adventure
143,He whispered .,adventure
144,"Just a half-breed 'pache , never said much , never meant anythin to me , but he stuck with me .",adventure
145,"It was a fair fight , the boy provoked it -- Big Charlie told me so .",adventure
146,I believed him .,adventure
147,"They killed Big Charlie , dumped his body in my rose garden two nights ago .",adventure
148,Just cleared out .,adventure
149,"I didn't understand why , Clay .",adventure
150,They just all cleared out .,adventure
151,I treated them fair '',adventure
152,"He wiped his lips with a sleeve , then stared at Clayton in a childish kind of wonder .",adventure
153,"`` Do you mean '' -- he asked almost shyly -- `` you want me to go with you , wherever you're goin '' ? ?",adventure
154,`` Yes '' .,adventure
155,`` You don't hate me any more '' ? ?,adventure
156,"Clayton choked , shook his head , murmuring , `` No '' .",adventure
157,`` Come here '' .,adventure
158,The old man beckoned with one finger and Clayton went forward to him .,adventure
159,Gavin slipped his arms around his chest and hugged him fiercely .,adventure
160,"`` All my life '' , he said , `` I tried .",adventure
161,I tried .,adventure
162,I saw you driftin away -- but I tried .,adventure
163,And you wanted no part of me when I had so much to give .,adventure
164,Now there's nothin left of me .,adventure
165,Oh ! !,adventure
166,That would mock me too much ! !,adventure
167,"Can't let you go way from me again '' He closed his eyes , ashamed of his tears .",adventure
168,"`` I'll go , Clay '' .",adventure
169,Clayton freed himself from the embrace and stepped back .,adventure
170,The eyes followed him fearfully .,adventure
171,There isn't much time .,adventure
172,I'll saddle the horses and bring them round .,adventure
173,You get ready '',adventure
174,He burst from the hot confinement of the room into the cold night air .,adventure
175,"Gavin's stallion was in the barn and he tightened the cinches over the saddle blanket , working by touch in the darkness , comforting the animal with easy words .",adventure
176,When he had finished he led him and the mare to the porch .,adventure
177,Clayton looped the reins in a knot over the veranda post and patted the warm flesh of his neck .,adventure
178,The mare had backed away .,adventure
179,"`` You take it easy , boy '' , Clayton whispered .",adventure
180,`` She doesn't want you now .,adventure
181,"You take it easy , your time will come '' .",adventure
182,"Gavin stood on the porch , a thin figure .",adventure
183,"He had taken a carbine down from the wall and it trailed from his hand , the stock bumping on the wood floor .",adventure
184,Clayton called to him and he came slowly down the steps .,adventure
185,"`` Clay '' , he said , `` where are we goin '' ? ?",adventure
186,There's someone there I have to see .,adventure
187,"I don't know yet , it's crazy ; ;",adventure
188,I have to think about it .,adventure
189,But California is where we're goin '' .,adventure
190,Gavin began to nod .,adventure
191,`` That's a new land .,adventure
192,A man could make a mark there .,adventure
193,"Start out fresh , the two of us , like nothin had ever happened '' .",adventure
194,"`` Yes , like a father and son '' .",adventure
195,"`` I made you what you are '' , Gavin whispered .",adventure
196,I made you a man '' .,adventure
197,"`` Yes , Gavin , you did '' .",adventure
198,"`` Help me up , Clay .",adventure
199,"Help me up , I feel kind of stiff '' .",adventure
200,"Clayton lifted him gently into the saddle , like a child .",adventure
201,"`` I hate to leave my garden '' , Gavin said .",adventure
202,`` They'll trample it down .,adventure
203,I loved my garden '' .,adventure
204,`` It will grow again -- in California '' .,adventure
205,"`` I loved this valley '' , he whispered huskily .",adventure
206,"`` Lived alone here for three years , before any man came .",adventure
207,Lived alone by the river .,adventure
208,"It was nice then , so peaceful and quiet .",adventure
209,There was no one but me .,adventure
210,I don't want to leave it '' .,adventure
211,Thirty-five,adventure
212,Dawn would come soon and the night was at its coldest .,adventure
213,"The moon had sunk below the black crest of the mountains and the land , seen through eyes that had grown accustomed to the absence of light , looked primeval , as if no man had ever trespassed before .",adventure
214,Gavin sighed bitterly .,adventure
215,In that inert landscape the caravan of his desires passed before his mind .,adventure
216,"He saw them ambushed , strewn in the postures of the broken and the dying .",adventure
217,"In vain his mind groped to reassemble the bones of the relationships he had sought so desperately , but they would not come to life .",adventure
218,"The silence oppressed him , made him bend low over the horse's neck as if to hide from a wind that had begun to blow far away and was twisting slowly through the darkness in its slow search .",adventure
219,They passed ranches that were framed dark gray against the black hills .,adventure
220,Then at last the darkness began to dissolve .,adventure
221,"A bold line of violet broke loose from the high ridge of the mountains , followed by feathers of red that swept the last stars from the sky .",adventure
222,The wan light spread over the ground and the valley revealed in the first glimmer the contours of trees and fences and palely shadowed gullies .,adventure
223,"They had been seen as soon as they left the ranch , picked out of the darkness by the weary though watchful eyes of two men posted a few hundred yards away in the windless shelter of the trees .",adventure
224,"The two men whipped their horses into town and flung themselves up the steps of the saloon , crying their intelligence .",adventure
225,"The men in Pettigrew's were tired from a night's drinking , their faces red and baggy .",adventure
226,But the liquor had flushed their courage .,adventure
227,"Lester heard their muttering , saw their eyes reveal their desire .",adventure
228,`` He's leavin .,adventure
229,"That's what you wanted , isn't it ? ?",adventure
230,"Clayton is with him , takin him out of the valley .",adventure
231,You can't '' --,adventure
232,"`` Keep out of this '' , Purvis snarled .",adventure
233,"`` He's not your brother , he's Gavin's son .",adventure
234,"You see , he lied to us when he said he was leavin alone '' .",adventure
235,First he thought of the time he had ridden to Gavin and told him how his cattle were being rustled at the far end of the valley .,adventure
236,Then he thought of a time when Clayton's horse had fallen lame in the Gap .,adventure
237,His wife had said to him : `` Nellie is in love with Clayton Roy .,adventure
238,He wouldn't even dance with her at Gavin's party .,adventure
239,He treats her like she was dirt .,adventure
240,And you stand by like a fool and let him do it '',adventure
241,He remembered Clayton's mocking smile in the saloon when he had asked him what he would do if they brought their cattle to water .,adventure
242,It was the night Clayton had tricked them in the poker game .,adventure
243,"`` You're Gavin's son '' , Joe Purvis had said .",adventure
244,He turned to Lester .,adventure
245,`` You brought him back to this valley thinkin he would help you find your boy .,adventure
246,He meant to help Gavin all the time .,adventure
247,"He made a fool of you , Lester '' .",adventure
248,He swung round to the other men -- `` We can catch him easy ! !,adventure
249,There are plenty of fresh horses halfway at my place .,adventure
250,"If we let them go , they won't stay away , they'll find men to ride with them and they'll be back .",adventure
251,There's only one way they can get out now and that's through the Gap -- if we ride hard we can take them '' .,adventure
252,The boy jerked away .,adventure
253,`` He killed Tom -- do you understand that '' ? ?,adventure
254,Purvis and Silas Pettigrew were the last to leave .,adventure
255,They mounted up and rode slowly behind the others at a safe distance .,adventure
256,"in the cold dawn the mist swirled low to the ground , then rose with a gust of sudden wind to leave the valley clear .",adventure
257,"The wind of their running was cold and wild , the horses were lathered and their manes streamed like stiff black pennants in the wind .",adventure
258,The mare began to tire and Clayton felt the spray of snow from the hoofs of Gavin's stallion .,adventure
259,He looked over his shoulder at the thin dotting of pursuers .,adventure
260,He rode low on the mare's neck .,adventure
261,"Ahead of him Gavin turned slightly off the trail and pointed for the Gap , no more than a mile away .",adventure
262,he could feel more than hear the staccato beat of hoofs that fanned out across the prairie to the north .,adventure
263,"He knew who was riding after him -- the men he had known all his life , the men who had worked for him , sworn their loyalty to him .",adventure
264,"And he was fleeing , running -- fleeing his death and his life at the same time .",adventure
265,The land over which he sped was the land he had created and lived in : his valley .,adventure
266,"With every leaping stride of the horse beneath him he crossed one more patch of earth that had been his , that he would never see again .",adventure
267,The Gap looming before him -- the place where had confronted Jack English on that day so many years ago -- was his exit from all that had meaning to him .,adventure
268,"California is too far , he thought .",adventure
269,He would never reach California .,adventure
270,"He was too old -- when he passed up and through the corridor of pines that lined the trail he could see ahead , he was passing from life .",adventure
271,The sentry was not dead .,adventure
272,"He was , in fact , showing signs of reviving .",adventure
273,He had been carrying an Enfield rifle and a holstered navy cap-and-ball pistol .,adventure
274,A bayonet hung in a belt scabbard .,adventure
275,He was partially uniformed in a cavalry tunic and hat .,adventure
276,Mike stripped these from him and donned them .,adventure
277,"He and Dean tied and gagged the man , using his belt and shirt for the purpose .",adventure
278,They dragged him inside the building .,adventure
279,"Fiske joined them , unsteady on his feet .",adventure
280,`` You are hurt '' ! !,adventure
281,She breathed .,adventure
282,He turned to Susan and kissed her on the cheek .,adventure
283,`` You are very brave '' .,adventure
284,Mike silenced them .,adventure
285,`` We'll talk later .,adventure
286,"First , we've got to get out of here '' .",adventure
287,"`` We'll grab horses '' , Dean said .",adventure
288,"`` The main bunch is outside , but there are some over there inside the wall '' .",adventure
289,But it at least offered him a chance for living .,adventure
290,He had none here .,adventure
291,The guerrilla bivouac remained silent .,adventure
292,Light showed in the orderly room across the parade ground .,adventure
293,No doubt there would be men guarding the horses .,adventure
294,"About a dozen animals were held inside the stockade , as best Mike could make out in the moonlight .",adventure
295,He handed the guard's rifle to Fiske .,adventure
296,"`` Dean and myself will try to cut out horses to ride '' , he said .",adventure
297,`` We'll stampede the rest .,adventure
298,You stay with the ladies .,adventure
299,"He added , `` If this doesn't work out , the three of you barricade yourself in the house and talk terms with them '' .",adventure
300,He handed the bayonet to Dean and kept the pistol .,adventure
301,Susan halted Dean and kissed him .,adventure
302,"She clung to him , talking to him , and dabbing at her eyes .",adventure
303,"He kissed her also , and with deep tenderness .",adventure
304,She too began to weep .,adventure
305,He released her and joined Mike .,adventure
306,"`` All right '' , he said .",adventure
307,"Mike only said , `` Later '' .",adventure
308,Susan said fiercely .,adventure
309,`` The way you were careful '' ? ?,adventure
310,He snorted .,adventure
311,`` Running around in the moonlight almost naked and slugging a man with a rock '' ? ?,adventure
312,He wanted no more sentimental scenes with her .,adventure
313,Something all of them would regret .,adventure
314,"He might tell her how sorry a spectacle she was making of herself , pretending to be blind to the way Julia Fortune had taken Dean's affections from her .",adventure
315,"And using him , Mike McLish , as a sop to her pride .",adventure
316,He handed the bayonet to Dean and kept the pistol .,adventure
317,"`` Stay well back of me '' , he said .",adventure
318,"Holding the pistol concealed , he walked to the rear wall of the stockade .",adventure
319,It was pierced by a wagon gate built of two wings .,adventure
320,One wing stood open .,adventure
321,Mike passed through it and moved toward the dark mass of horses .,adventure
322,A voice spoke near-at-hand .,adventure
323,`` Who's that '' ? ?,adventure
324,"`` Is that you , Bill '' ? ?",adventure
325,He located his man .,adventure
326,The guard stood in the shadow of the stockade wall just out of reach of the moonlight .,adventure
327,Mike struck with the muzzle of the pistol .,adventure
328,But the luck that had been running their way left him .,adventure
329,The guard instinctively parried the blow with his rifle .,adventure
330,He tried to veer the rifle around to fire into Mike's body .,adventure
331,"Mike , off balance , managed to bat the muzzle away a moment before it exploded .",adventure
332,The bullet went wide .,adventure
333,Mike swung the pistol in a savage backlash .,adventure
334,"This time it connected solidly on the man's temple , felling him .",adventure
335,The explosion of the rifle had crashed against the walls of the stockade and the deep echoes were still rolling in the hills .,adventure
336,Dean came rushing up .,adventure
337,`` Are you hit '' ? ?,adventure
338,He demanded .,adventure
339,"`` No , but the fat's in the fire '' ! !",adventure
340,Mike said .,adventure
341,`` There's no chance now of all of us getting away .,adventure
342,You'll have to try it alone '' .,adventure
343,"The sentry's saddled horse stood picketed nearby , having been kept handy in case of need .",adventure
344,Mike took the bayonet from Dean's hand and slashed the picket line .,adventure
345,`` Up you go '' ! !,adventure
346,He said .,adventure
347,`` Ride '' ! !,adventure
348,Dean resisted Mike's attempt to push him toward the horse .,adventure
349,`` Why not you '' ? ?,adventure
350,He protested .,adventure
351,Mike said frantically .,adventure
352,`` You're lighter than me .,adventure
353,It's our only chance now .,adventure
354,Try to find these Feds .,adventure
355,The rest of us can fort up in the house and hang on until you get back .,adventure
356,"Dean still hesitated , but Mike lifted him almost bodily into the saddle and thrust the reins in his hand .",adventure
357,`` Favor him and save something in case you hit trouble .,adventure
358,Watch out for Apaches when it comes daylight .,adventure
359,You might need it .,adventure
360,"We'll still have the rifle , and I might be able to round up some more .",adventure
361,I'll stampede the rest of these horses so they can't chase you '' .,adventure
362,Dean leaned from the saddle and gave him a mighty whack on the back .,adventure
363,"`` McLish '' , he said as he kicked the horse into motion , `` I'd be a mighty sad man if we never met again '' .",adventure
364,Then he was on his way at a gallop .,adventure
365,"Mike ran down the line , slashing picket ropes with the bayonet .",adventure
366,He lifted a screeching war whoop .,adventure
367,That touched off a total stampede .,adventure
368,He darted inside the stockade and freed the horses there .,adventure
369,These poured through the gate and joined the flight .,adventure
370,"The animals thundered away into the moonlight , heading for the ridges .",adventure
371,`` Apaches '' ! !,adventure
372,Mike yelled .,adventure
373,`` They're stealin' the stock '' ! !,adventure
374,He crouched there .,adventure
375,His shout had been taken up and repeated .,adventure
376,The guerrillas were running across the parade ground and through the rear gate in the wake of the departing horses .,adventure
377,Durkin and Calhoun came running from the post .,adventure
378,They bawled questions that were not answered in the uproar .,adventure
379,They followed the others toward the east gate .,adventure
380,Beyond the stockade rifles began to explode as some of the guerrillas fired at shadows that they imagined were Apaches .,adventure
381,Mike made a dash to the rear of the frame buildings .,adventure
382,He crawled beneath the two supply wagons which stood between the buildings and peered around a corner .,adventure
383,The area was deserted .,adventure
384,"A man was standing in the open door of the lighted orderly room a few yards to Mike's left , but he , too , suddenly made up his mind and went racing to join the confused activity at the east end of the stockade .",adventure
385,Mike crawled to the door and peered in .,adventure
386,The orderly room seemed to be deserted .,adventure
387,"A lantern hung from a peg , giving light .",adventure
388,"Ducking inside , he found that three rifles were stacked in a corner .",adventure
389,"An ammunition case stood open , containing canisters which contained powder cartridges .",adventure
390,"Mike seized a blanket from a pallet in a corner , spread it on the floor and used it to form a bag in which he placed his booty .",adventure
391,He set his bundle down .,adventure
392,"Bursting paper cartridges , he scattered powder beneath the nearest wagon and dumped the contents of the canister upon it .",adventure
393,"He shouldered the blanket again , backed off , and tossed the lantern with its open wick beneath the wagon .",adventure
394,He turned and raced across the parade ground toward the rock house .,adventure
395,Powder flame gushed beneath the wagon .,adventure
396,The stockade was brilliantly lighted and the guerrillas sighted him .,adventure
397,They realized the truth .,adventure
398,Bullets began to snap past him .,adventure
399,One struck the muzzle of one of the rifles that projected from the shoulder pack .,adventure
400,A bullet tore the earth from beneath his foot when he was a stride or two from safety .,adventure
401,Another struck him heavily in the thigh and he went down .,adventure
402,Susan and Julia came from the door and dragged him with them .,adventure
403,Susan bounced to her feet and slammed the door .,adventure
404,"She crouched aside as bullets beat at the portal , chewing into the planks .",adventure
405,Some tore entirely through the whipsawed post oak .,adventure
406,"The iron hinges held , but the planks were in danger of being torn from the crossbars .",adventure
407,"He hovered over her to shield her , for spent bullets were thudding against the rear walls .",adventure
408,He peered from a loophole .,adventure
409,"Guerrillas were only a dozen yards away , charging the house .",adventure
410,Mike snatched a pistol from the heap of scattered booty and fired .,adventure
411,He dropped a man with the first bullet .,adventure
412,At the same moment Wheeler Fiske fired the rifle Mike had given him and another guerrilla was hit .,adventure
413,That halted the rush .,adventure
414,The wagons were burning fiercely .,adventure
415,The mudwagon had caught fire also .,adventure
416,`` Gawdamighty '' ! !,adventure
417,One screeched .,adventure
418,`` There goes our grub an' ammunition '' ! !,adventure
419,`` Get a bucket line going '' ! !,adventure
420,`` Hurry ! !,adventure
421,The guerrillas began a frantic search for pails in which to bring water from the spring .,adventure
422,But what few containers they found were inadequate .,adventure
423,"Many of them , in increasing panic , came running with water in their hats in a ludicrous effort .",adventure
424,Both buildings were in flames .,adventure
425,The heat drove the guerrillas back .,adventure
426,The roof of the command post began to buckle .,adventure
427,`` Drag the wagons to the spring '' ! !,adventure
428,`` Run 'em right into the spring ! !,adventure
429,Hustle '' ! !,adventure
430,One of the wagons erupted a massive pillar of flame .,adventure
431,A sizable supply of powder had been touched off .,adventure
432,The wagons and the coach were beyond saving and so were the buildings .,adventure
433,"The glow of the fire reached through the openings in the windows , giving light enough to examine Mike's wound .",adventure
434,Susan and Julia ripped strips from their clothing and bound the injury .,adventure
435,Mike tested the leg and found that he was able to hobble around on it .,adventure
436,`` So it wasn't the earthquake that made him return to his village '' ! !,adventure
437,`` No .,adventure
438,"Now dammit , I don't want to go into any more explanations .",adventure
439,Here comes Jason .,adventure
440,Keep this to yourself '' .,adventure
441,"`` Anything wrong , cap'n ? ?",adventure
442,The men seem to think so '' .,adventure
443,`` Dirion found a large war party south of us .,adventure
444,"They'll probably attack at dawn '' , Montero said .",adventure
445,He brushed past the clergyman and walked into the center of the camp .,adventure
446,"Using his hands as a trumpet he shouted , `` Fort up ! !",adventure
447,There's a large war party on their way '' ! !,adventure
448,"For a second , engages , cooks , voyageurs appeared struck dumb .",adventure
449,Then Little Billy began shouting orders to round up the ponies and fill the water buckets and for the cooks to hurry up with the meal .,adventure
450,The Aricaras treated us like friends .,adventure
451,Oso gave me an unruffled look .,adventure
452,"`` Old Knife's got the largest war party ever seen on the river '' , he said calmly .",adventure
453,`` What would you have done in Montero's moccasins ? ?,adventure
454,"Let Old Knife come up and kill you and your people , or would you steer him on someone else '' ? ?",adventure
455,He shook his head .,adventure
456,Mr. Manuel whispered in the ears of the Sioux that the Cheyennes were comin' to raid 'em for their horses .,adventure
457,"Hell , they were fightin' each other so hard they had no time for anyone else .",adventure
458,The War Department wrote Mr. Manuel a letter and said he was a hero .,adventure
459,I saw that letter .,adventure
460,He carried it in a little wallet made of fish skin '' .,adventure
461,"`` But that was war '' , I said .",adventure
462,`` There's no war on now '' .,adventure
463,"`` You're wrong , Matt .",adventure
464,"First it was the Nations against themselves , then it was them against the whites .",adventure
465,And it's goin' to go on like this year after year until the white people take over this land '' .,adventure
466,I remember being told it would happen so fast people would think it took place overnight .,adventure
467,`` That's why this company's important .,adventure
468,That's why the Trust don't want us to make it .,adventure
469,That bastard Chambers ! !,adventure
470,-- Old Knife's not the only chief he'll get to do his dirty work ! !,adventure
471,Before we get through he'll have the Blackfeet hankerin' for our hair and our goods .,adventure
472,"Well , talkin' ain't goin' to help -- let's fort up '' ! !",adventure
473,"For , unlike the Sioux and the Crows , the Aricaras are not great horsemen , nor are they aggressive like the savage Blackfeet .",adventure
474,"More of an agricultural nation , they have relied on their warriors only for defense and for survival in the endless wars of the plains .",adventure
475,"Still , I was disgusted with myself for agreeing with Montero's methods .",adventure
476,"`` I think Montero did right '' , Amy said firmly .",adventure
477,`` Let the savages kill each other .,adventure
478,What do we care '' ? ?,adventure
479,Reverend Jason was understandably bitter .,adventure
480,`` It was a terrible thing to do .,adventure
481,Those little children .,adventure
482,'',adventure
483,28 .,adventure
484,Attack,adventure
485,Our camp was in the center of a wide valley .,adventure
486,"Montero had set up a strong position , using every bale and box we had in addition to barricades of logs and brush .",adventure
487,He had ordered the ponies brought inside the fortified circle and had assigned Pierre and a band of picked engages the job of trying to keep them steady under fire .,adventure
488,The pony herd was the one flaw in our defense ; ;,adventure
489,the Rees undoubtedly would try to cut down as many of the animals as possible .,adventure
490,Wildly bucking horses would make the position difficult to defend against charging warriors .,adventure
491,"Buckets were filled , the herd fed and watered .",adventure
492,The worst part had been the waiting ; ;,adventure
493,"although we didn't expect the attack before dawn , the long cloudy night , filled with the sounds of the industrious insects , seemed endless .",adventure
494,"Coyotes and hunting wolves sounded like signaling Indian scouts , the whinny of a restless pony made one's skin crawl .",adventure
495,"Oso slept unconcernedly , his rifle cradled in his arms ; ;",adventure
496,I didn't catch a wink .,adventure
497,"Every time I closed my eyes , I saw Gray Eyes rushing at me with a knife .",adventure
498,It was a relief when they finally came .,adventure
499,"They poured through the opening in the valley , then spread out in a long line to come at us , brandishing their lances and filling the morning with their spine-chilling scalp cry .",adventure
500,"`` Oso '' , Montero called `` I'll get Gray Eyes '' .",adventure
501,"`` That'll be a pleasure to see '' , the big black murmured as he stared down the barrel of his rifle .",adventure
502,"`` Hold your fire '' , Montero was shouting .",adventure
503,`` Wait until my shot .,adventure
504,I'll shoot the first man who doesn't '' .,adventure
505,I could see them in my sights .,adventure
506,They were about a mile off ; ;,adventure
507,under me the ground quivered slightly .,adventure
508,"At first they were only feathers and dark indistinguishable faces and bodies , hunched over their horses' heads .",adventure
509,Gradually they emerged as men .,adventure
510,Gray Eyes was in the lead .,adventure
511,"His face was split by a vermilion streak , his eyes were pools of white ; ;",adventure
512,jagged red and black medicine symbols covered his chest .,adventure
513,He was naked except for a clout .,adventure
